icao24,registration,manufacturername,model,typecode,operator,operatorcallsign,operatoricao,operatoriata
407994,G-STBO,,B777-336(ER),B77W,British Airways,SPEEDBIRD,BAW,BA
45ac32,OY-KAR,Airbus,A320 232,A320,,SCANDINAVIAN,SAS,
342105,EC-JFG,Airbus,A320 214,A320,,,IBS,
407537,G-TTNG,Airbus Industrie,A320-251N,A20N,British Airways,SPEEDBIRD,BAW,BA
39ceb2,F-HTVS,,,B738,,,,
34569a,EC-MUY,,,A319,Volotea,VOLOTEA,VOE,V7
344698,EC-MGE,Airbus,Airbus A320 232SL,A320,Vueling Airlines,VUELING,VLG,VY
738050,4X-EHA,Boeing,737NG 958ER/W,B739,,ELAL,ELY,
300394,I-ADJL,Embraer,EMB-195 LR,E195,,DOLOMOTI,DLA,
ac2567,N882BL,,,B788,,,,
aad012,N796UA,Boeing,777-222,B772,,UNITED,UAL,
486265,PH-TDX,Diamond Aircraft Industries Inc.,Diamond DA42,DA42,Vliegclub Schiphol,,,
440665,OE-LBI,Airbus,A320 214,A320,,AUSTRIAN,AUA,
345116,EC-MJR,Airbus,A321 231SL,A321,,VUELING,VLG,
406b4a,G-VOOH,Boeing Company,BOEING 787-9 Dreamliner,B789,,VIRGIN,VIR,
39cf03,F-HTYD,Airbus,Airbus A350-941 ,A359,Air France - France,AIRFRANS,AFR,
4b17e3,HB-JBF,C Series Aircraft Limited Partnership,BD-500-1A10 (CS100),BCS1,Swiss International Air Lines,SWISS,SWR,LX
485a33,PH-BCH,Airbus Industrie,737-8K2,B738,Klm,KLM,KLM,KL
44064a,OE-LQL,Airbus,A319-111,A319,Easyjet,EASY,EZY,U2
aa92f9,N78002,Boeing,777-224,B772,,UNITED,UAL,
896464,A6-BLF,Boeing,B787-9,B789,,ETIHAD,ETD,
a8d3b4,N668UA,Boeing,767-322,B763,,UNITED,UAL,
44006c,OE-LBT,Airbus,A320 214,A320,,AUSTRIAN,AUA,
345643,EC-MVE,Airbus,,A320,Vueling Airlines,VUELING,VLG,VY
4baad0,TC-JVP,Boeing,737NG 8F2/W,B738,,TURKAIR,THY,
4bb276,TC-LSV,,,A21N,,,,
3453d3,EC-MQQ,Bombardier,CRJ 1000 NG,CRJX,Air Nostrum,AIR NOSTRUM,ANE,YW
896407,A6-APD,Airbus,A380 861,A388,,ETIHAD,ETD,
485876,PH-EXZ,Embraer,ERJ-175STD,E75L,Klm Cityhopper,KLM,KLC,WA
4ca813,EI-EKT,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
3965a4,F-GZNE,Boeing,B777-300(ER),B77W,Air France,AIRFRANS,AFR,AF
4b19f5,HB-JVP,Embraer - Empresa Brasileira De Aeronáutica Sa,ERJ 190-100 LR,E190,Helvetic Airways,HELVETIC,OAW,2L
3c70c5,D-ALFE,Boeing,777 FBT,B77L,,LUFTHANSA CARGO,GEC,
aaf828,N806AA,Boeing,787-8,B788,,AMERICAN,AAL,
502d45,YL-ABD,,A220-300,BCS3,Air Baltic,AIRBALTIC,BTI,BT
39cf09,F-HTYJ,,A350-941,A359,Air France,AIRFRANS,AFR,AF
45ce4e,OY-SRN,Boeing,767 219ERBDSF,B762,Star Air,,,S6
4b17fc,HB-JCE,C Series Aircraft Limited Partnership,BD-500-1A11 (CS300),BCS3,Swiss International Air Lines,SWISS,SWR,LX
4b1615,HB-IJL,Airbus,A320-214,A320,Swiss International Air Lines,SWISS,SWR,LX
407cd2,G-XWBM,,,A35K,,,,
8964e3,A6-EVL,,A380-842,A388,Emirates Airlines,EMIRATES,UAE,EK
343046,EC-KLB,Airbus,A320 214,A320,,VUELING,VLG,
3991e3,F-HEPD,Airbus,A320 214,A320,,AIRFRANS,AFR,
aaac4a,N787UA,Boeing,777-222,B772,,UNITED,UAL,
75044d,9M-MAF,,,A359,,,,
c06a39,C-GOFW,,,A333,,,,
394c19,F-GTAZ,Airbus,A321 212,A321,Air France,AIRFRANS,AFR,AF
4ca292,EI-DEL,Airbus Industrie,A320-214,A320,,SHAMROCK,EIN,
345313,EC-MOG,Airbus,A320 232SL,A320,,VUELING,VLG,
48520a,PH-HXB,Boeing,737NG 8K2/W,B738,,TRANSAVIA,TRA,
398563,F-HBLD,Embraer,EMB-190 LR,E190,,,,
44e193,OO-XLS,Cessna,Cessna Citation XLS+,C56X,,,,
4076e3,G-NEOU,Airbus Industrie,A321-251NX,A21N,British Airways,SPEEDBIRD,BAW,BA
344495,EC-LYL,Cessna,Citation C560XL,C56X,Gestair,GESTAIR,GES,GP
49530a,CS-TXJ,,,A21N,,,,
3c64ef,D-AIGO,Airbus,A340 313X,A343,,LUFTHANSA,DLH,
76ccd0,9V-SFP,Boeing,Boeing 747-412F,B744,,SINGCARGO,SQC,
346057,EC-MYX,,Airbus A350-941,A359,Iberia Airlines,IBERIA,IBE,IB
347255,EC-NUG,,,B738,,,,
