icao24,registration,manufacturername,model,typecode,operator,operatorcallsign,operatoricao,operatoriata
502cd0,YL-CSG,Bombardier,Bombardier C Series 300,BCS3,,AIRBALTIC,BTI,
3c542c,D-AEAL,Airbus,A300 B4-622RF,A306,European Air Transport,EUROTRANS,BCS,QY
440c8d,OE-LBB,Airbus,A321 111,A321,,AUSTRIAN,AUA,
440c36,OE-LKX,,,A319,,,,
3c6741,D-AIZA,Airbus,A320 214,A320,,LUFTHANSA,DLH,
780d9d,B-2021,Boeing,Boeing 777-39P(ER),B77W,,CHINA EASTERN,CES,
40621d,G-STBC,Boeing Company,BOEING 777-36NER,B77W,British Airways,SPEEDBIRD,BAW,BA
4952b0,CS-TUP,,A330-941,A339,Tap Portugal,AIR PORTUGAL,TAP,TP
3c6d43,D-AKJC,,,E190,,,,
aaa6e4,N786AV,Boeing,787-8,B788,Avianca - Aerovías Del Continente Americano S.a.,AVIANCA,AVA,AV
4d21ec,9H-QAD,,,B738,,,,
440c1b,OE-IXE,,,B738,,,,
406c43,G-LCYU,Embraer Sa,ERJ 190-100 SR Embraer 190,E190,,FLYER,CFE,
4ca63a,EI-DVG,Airbus Industrie,A320-214,A320,,SHAMROCK,EIN,
4ca836,EI-GAL,Airbus Industrie,A320-214,A320,,SHAMROCK,EIN,
346090,EC-NBA,,,A20N,,,,
c023bd,C-FNNW,The Boeing Company,777-333ER (Boeing),B77W,,AIR CANADA,ACA,
4071d9,G-EZPX,Airbus Sas,AIRBUS A320-214,A320,,EASY,EZY,
4d234e,9H-VUO,Boeing,737 MAX 8,B38M,Ryanair,RYANAIR,RYR,FR
406f79,G-ZBKM,Boeing Company,BOEING 787-9 Dreamliner,B789,,SPEEDBIRD,BAW,
aab001,N788UA,Boeing,777-222,B772,,UNITED,UAL,
39c429,F-HRBJ,Boeing,Boeing 787-9,B789,Air France,AIRFRANS,AFR,AF
4bb322,TC-LYB,,,B39M,,,,
4063de,G-EUYJ,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
3472c3,EC-NUO,,,A320,,,,
3c65c9,D-AINI,Airbus,Airbus A320 271NSL,A20N,,LUFTHANSA,DLH,LH
4bcdec,TC-SOL,Boeing,737 MAX 8,B38M,Sunexpress,SUNEXPRESS,SXS,XQ
4b0290,HB-AZG,Embraer,E190-E2,E290,Helvetic Airways,HELVETIC,OAW,2L
4b19fd,HB-JVX,Embraer,ERJ-190STD (190-100),E190,Helvetic Airways,HELVETIC,OAW,2L
34718d,EC-NRG,,,A332,,,,
39666f,F-GZTP,Boeing,737NG 71B/W,B737,,,,
485344,PH-BHL,Boeing,B787-9,B789,,KLM,KLM,
3c4a8c,D-ABTL,Boeing,747 430,B744,,LUFTHANSA,DLH,
39cead,F-HTVN,,,B738,,,,
4cada6,EI-INA,Airbus Industrie,A320-271N	,A20N,Ita Airways,ITY,,
400dae,G-EZAJ,Airbus Sas,AIRBUS A319-111,A319,,EASY,EZY,
3c675a,D-AIZZ,Airbus,Airbus A320 214SL,A320,,LUFTHANSA,DLH,
4d241e,9H-WAI,,,A21N,,,,
39a201,F-HIQB,,737-8AS (BCF)(W),B738, Asl Airlines France,FRENCH POST,FPO,5O
a05434,N120FE,Boeing,767-3S2F,B763,,,,
4ba946,TC-JJF,Boeing,Boeing 777-3F2(ER),B77W,,TURKAIR,THY,
44028c,OE-INI,,,A320,,,,
06e010,9XR-WP,Airbus,A330 343E,A333,,RWANDAIR,RWD,
34754c,,,,,,,,
06a2b1,A7-BEM,,,B77W,,,,
06a121,A7-ANE,,A350-1041,A35K,Qatar Airways,QATARI,QTR,QR
495297,CS-TTW,Embraer,EMB-195 AR,E195,Tap Portugal,AIR PORTUGAL,TAP,TP
4b17de,HB-JBA,Bombardier Inc.,BD-500-1A10 (CS100),BCS1,Swiss International Air Lines,SWISS,SWR,LX
c058c2,C-GHPX,The Boeing Company,787-8 (Boeing),B788,,AIR CANADA,ACA,
451d85,LZ-SOF,Embraer,EMB-190 AR,E190,,FLYING BULGARIA,LZB,
440666,OE-LBJ,Airbus,A320 214,A320,,AUSTRIAN,AUA,
486491,PH-NXH,,,E295,,,,
39b221,F-HMRB,,,B77L,,,,
ab8862,N842MH,Boeing,767-432ER,B764,,DELTA,DAL,
392af2,F-GKXS,Airbus,A320 214,A320,,AIRFRANS,AFR,
aa9f6f,N784AN,Boeing,777-223,B772,American Airlines,AMERICAN,AAL,AA
485a34,PH-BCK,Boeing,737-8K2,B738,Klm,KLM,KLM,KL
394a07,F-GSQH,Boeing,B777- 328(ER),B77W,,AIRFRANS,AFR,
48ad86,SP-MLG,,,E190,,,,
aace63,N796AV,Boeing,787-8,B788,,,,
4857b3,PH-TTR,,Airbus Helicopters H135,EC35,,,,
4079d3,G-LCAH,,,E190,,,,
3c65cd,D-AINM,Airbus Industrie,A-320neo,A20N,Lufthansa,LUFTHANSA,DLH,LH
4009c5,G-EUUH,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
440625,OE-LKM,A319-111,,A319,Easyjet Europe,,EJU,
ab0e54,N811NW,Airbus,A330-323,A333,,DELTA,DAL,
ab20e7,N816NW,Airbus,A330-323,A333,,DELTA,DAL,
3472c9,EC-NUD,,,A21N,,,,
440bc3,OE-LNF,,,B752,,,,
4066ab,G-VRAY,Airbus Sas,AIRBUS A330-343,A333,,VIRGIN,VIR,
040062,ET-APU,Boeing,777 F6N,B77L,Ethiopian Airlines,ETHIOPIAN,ETH,ET
495148,CS-TJH,Airbus,A321 212,A321,,AIR PORTUGAL,TAP,
502d46,YL-ABE,,A220-300,BCS3,Air Baltic,AIRBALTIC,BTI,BT
407699,G-VPRD,,Airbus A350-1041,A35K,Virgin Atlantic Airways,VIRGIN,VIR,VS
4b1a1e,HB-JXE,Airbus,A320-214,A320,Easyjet Switzerland Sa,,,
010204,SU-GFJ,,,A20N,,,,
3991e4,F-HEPE,Airbus,A320 214,A320,,AIRFRANS,AFR,
4caca1,EI-HAB,,,AT76,,,,
495037,CS-TAW,,,E195,,,,
345314,EC-MOO,Airbus,A321 231SL,A321,,VUELING,VLG,
78129e,B-1345,,,B789,,,,
aa944a,N781AN,Boeing,777-223,B772,,AMERICAN,AAL,
4cafd7,EI-GED,,,CRJ9,,,,
346391,EC-NFA,,,E295,,,,
0a0018,7T-VJJ,Boeing,737NG 8D6/W,B738,,AIR ALGERIE,DAH,
4005bf,G-VIIG,Boeing Company,BOEING 777-236,B772,,SPEEDBIRD,BAW,
3e4864,D-ISPO,,,P180,,,,
4ca9ba,EI-LRA,,Airbus A321-253NX/LR,A21N,Aer Lingus,SHAMROCK,EIN,EI
452112,LZ-CXC,,,B738,,,,
3965a5,F-GZNF,Boeing,Boeing 777-328(ER),B77W,Air France,AIRFRANS,AFR,AF
406c3a,G-VYUM,Boeing Company,BOEING 787-9 Dreamliner,B789,,VIRGIN,VIR,
3c6655,D-AIRU,Airbus,Airbus A321 131,A321,,LUFTHANSA,DLH,
3c64f6,D-AIGV,Airbus,A340 313X,A343,,LUFTHANSA,DLH,
010153,SU-GDP,Boeing,Boeing 777-36N(ER),B77W,,EGYPTAIR,MSR,
44cdce,OO-SNN,Airbus Industrie,A320 214,A320,Brussels Airlines,BEE-LINE,BEL,SN
495275,CS-TSU,,,B763,,,,
440bc9,OE-LNO,,,B752,,,,
48630e,PH-DWC,,,E135,,,,
3c15c1,D-AXGE,Airbus,A330 202,A332,,EUROWINGS,EWG,
49d423,OK-SWM,The Boeing Company,Boeing 737 MAX 8,B38M,Travel Service,SKYTRAVEL,TVS,QS
4b3974,HB-VTS,Hawker Beechcraft Corporation,390,PRM1,Lions Air Skymedia Ag,,,
4d2480,9H-VCU,,,CL35,,,,
406a93,G-EZWS,Airbus Sas,AIRBUS A320-214,A320,,EASY,EZY,
4a09b2,YR-BMR,Boeing,737-7K2,B737,Blue Air,BLUE TRANSPORT,JOR,0B
abf6d7,N870FD,Boeing,777F,B77L,Federal Express,FEDEX,FDX,FX
440050,OE-LBR,Airbus,A320 214,A320,,AUSTRIAN,AUA,
342211,EC-JDR,Airbus,A321 213,A321,,IBERIA,IBE,
4787b3,LN-NGD,Boeing,737NG 8JP/W,B738,,NOR SHUTTLE,NAX,
4b1813,HB-JDB,,,A20N,,,,
4952ad,CS-TUM,,A330-941 ,A339,Tap Portugal,AIR PORTUGAL,TAP,TP
78161c,B-209D,,Boeing 787-9,B789,China Southern Airlines,CHINA SOUTHERN,CSN,CZ
02008b,CN-ROS,Boeing,737NG 8B6/W,B738,,ROYALAIR MAROC,RAM,
4073a1,G-UZHD,Airbus,A320 251NSL,A20N,,EASY,EZY,
461e1f,OH-LKP,Embraer,EMB-190 LR,E190,,FINNAIR,FIN,
502ce8,YL-CSN,,A220-300 ,BCS3,Air Baltic,AIRBALTIC,BTI,BT
8964bc,A6-BLL,The Boeing Co.,Boeing 787-9 Dreamliner,B789,Etihad Airways,ETIHAD,ETD,EY
3c6759,D-AIZY,Airbus,A320 214SL,A320,,LUFTHANSA,DLH,
3c6674,D-AIST,Airbus,A321 231,A321,,LUFTHANSA,DLH,
aaa893,N786UA,Boeing,777-222,B772,,UNITED,UAL,
3c64a2,D-AIEB,Airbus Industrie,A321-271NX,A21N,Lufthansa,LUFTHANSA,DLH,LH
502d24,YL-AAV,,Airbus A220-300,BCS3,Air Baltic,AIRBALTIC,BTI,BT
4b193a,HB-JOK,,,A320,,,,
502ccd,YL-CSD,Bombardier,C Series 300,BCS3,,AIRBALTIC,BTI,
495304,CS-TXD,,A321-251NX/LR,A21N,Tap Portugal,AIR PORTUGAL,TAP,TP
343694,EC-LKF,Bombardier,CRJ 1000 NG,CRJX,,AIR NOSTRUM,ANE,
4ca73b,EI-EBS,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
407d74,G-TTNT,,,A20N,,,,
040087,ET-ARE,Boeing,Boeing 787-8,B788,Ethiopian Airlines,ETHIOPIAN,ETH,ET
342591,EC-KHN,Airbus,A320 216,A320,,VUELING,VLG,
3c5ee9,D-AGWI,Airbus,A319 132,A319,,GERMAN WINGS,GWI,
406091,G-EUYE,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
738069,4X-EKO,Boeing,737NG 86Q/W,B738,,ELAL,ELY,
3c4b2d,D-ABYM,Boeing,747 830,B748,,LUFTHANSA,DLH,
4d010d,LX-YCV,Boeing,Boeing 747-4R7F,B744,,,,
44001f,OE-ICN,,,A320,,,,
394a04,F-GSQE,Boeing,777 328ER,B77W,,AIRFRANS,AFR,
02a181,TS-IMB,,,A320,,,,
3c5422,D-AEAB,Airbus,A300 B4-622RF,A306,European Air Transport,EUROTRANS,BCS,QY
440c83,OE-LSM,,,A20N,,,,
3c6744,D-AIZD,Airbus,A320 214,A320,,LUFTHANSA,DLH,
4b1917,HB-JNB,Boeing,777-3DEER,B77W,Swiss International Air Lines,SWISS,SWR,LX
485778,PH-EXR,Embraer,ERJ-175STD,E75L,Klm Cityhopper,KLM,KLC,WA
8963df,A6-EPP,Boeing,777 31HER,B77W,,EMIRATES,UAE,
345615,EC-MTO,Mitsubishi,CRJ-1000,CRJX,Air Nostrum,AIR NOSTRUM,ANE,YW
5001e5,T7-ME5,,,A21N,,,,
3949ef,F-GSPP,Boeing,777 228ER,B772,Air France,AIRFRANS,AFR,AF
738054,4X-EHE,Boeing,737NG 958ER/W,B739,,ELAL,ELY,
34520f,EC-MNL,Airbus,A330 202,A332,,IBERIA,IBE,
4b1806,HB-JCO,C Series Aircraft Limited Partnership,BD-500-1A11 (CS300),BCS3,Swiss International Air Lines Ltd.,SWISS,SWR,LX
346692,EC-NLY,,,A321,Vueling Airlines,VUELING,VLG,VY
440418,OE-LYW,Airbus Industrie,A319-132,A319,Eurowings Europe,,EWE,E2
346648,EC-NPC,,,A320,,,,
4ca811,EI-EKR,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
4d2233,9H-QBY,The Boeing Company,BOEING 737-8AS,B738,Ryanair Ltd. - Ireland,RYANAIR,RYR,
484443,PH-AOD,Airbus,A330 203,A332,,KLM,KLM,
06a0c0,A7-BDB,Boeing,787 8,B788,Qatar Airways,QATARI,QTR,QR
4acaa4,SE-RUD,,,A20N,Scandinavian Airlines,SCANDINAVIAN,SAS,SK
a4c5d8,N4064J,Airbus,A321-271NX,A21N,Jetblue Airways,JETBLUE,JBU,B6
4bb261,TC-LSA,Airbus,A-321neo,A21N,Turkish Airlines,TURKISH,THY,TK
4ca700,EI-EBC,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
44056b,OE-LKD,,,A319,Easyjet,EASY,EZY,U2
440059,OE-LGB,Bombardier,DHC-8 402,DH8D,,AUSTRIAN,AUA,
39e68c,F-HZUM,,,BCS3,,,,
4cafce,EI-SII,Airbus Sas,320-251N,A20N,Scandinavian Airlines,SCANDINAVIAN,SAS,SK
3c6667,D-AISG,Airbus,A321 231,A321,,LUFTHANSA,DLH,
4cac66,EI-AZE,,,B738,,,,
500208,T7-AIRX,,,BE20,,,,
aa92fa,N78003,Boeing,777-224,B772,,UNITED,UAL,
abca08,N859NW,Airbus,A330-223,A332,,DELTA,DAL,
3c664c,D-AIRL,Airbus,A321 131,A321,,LUFTHANSA,DLH,
4005bc,G-VIID,Boeing Company,BOEING 777-236,B772,,SPEEDBIRD,BAW,
46d0a3,SX-TEC,,,A20N,,,,
4c01ed,YU-APN,Airbus,A319-132,A319,Air Serbia,AIR SERBIA,ASL,JU
3950cd,F-GUGN,Airbus,A318 111,A318,,AIRFRANS,AFR,
4d224c,9H-QAT,Boeing,Boeing 737-8AS (W),B738,Malta Air,RYANAIR,RYR,
3c6448,D-AIBH,Airbus,A319 112,A319,,LUFTHANSA,DLH,
44cdcb,OO-SNK,Airbus Industries,A320 200,A320,Brussels Airlines,BEE-LINE,BEL,SN
4cac1f,EI-HEZ,,,B38M,,,,
440018,OE-LKP,,,A319,,,,
a9f502,N74007,Boeing,777-224,B772,,UNITED,UAL,
8005eb,VT-ANA,Boeing,787 8,B788,,AIRINDIA,AIC,
aa9808,N782AV,Boeing,787-8,B788,, S.A.,AVA,
347287,EC-NTO,,,A20N,,,,
4b180a,HB-JCS,Airbus Industrie,A220-300,BCS3,Swiss International Air Lines,SWISS,SWR,LX
3472cc,EC-NTQ,,,A20N,,,,
4d23b6,9H-NFT,,,AT76,,,,
484cbb,PH-BVG,Boeing,Boeing 777 306ER,B77W,,KLM,KLM,
468e45,SX-CRE,,,A20N,,,,
c04e21,C-GDPG,Bombardier Inc.,BD-700-1A11 (Bombardier),GL5T,,,,
4ca85b,EI-EIA,Airbus Industrie,A320-216,A320,,ALITALIA,AZA,
781634,B-306Y,,A350-941,A359,China Eastern Airlines,CHINA EASTERN,CES,MU
406ac4,G-GDFZ,Boeing Company,BOEING 737-86Q,B738,,CHANNEX,EXS,
3c6518,D-AIHX,Airbus,A340 642,A346,,LUFTHANSA,DLH,
4b1856,HB-JFQ,Dassault Aviation,FALCON 7X,FA7X,Japat Ag,,,
4b194c,HB-JPC,Airbus Industrie,A321-271NX,A21N,Swiss International Air Lines,SWISS,SWR,LX
aa6bc0,N77022,Boeing,777-224,B772,,UNITED,UAL,
471f8e,HA-LYS,Airbus,A320 232SL,A320,,WIZZ AIR,WZZ,
abcf7f,N860GT,Boeing,747-8F,,,,,
400a0e,G-EUUO,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
400774,G-VIIW,Boeing Company,BOEING 777-236,B772,,SPEEDBIRD,BAW,
a13de2,N17963,Boeing,787-9,B789,,UNITED,UAL,
4d21ee,9H-QAF,Boeing,Boeing 737-8AS (W),B738,Malta Air,RYANAIR,RYR,
010207,SU-GFM,,A320-251N,A20N,Egyptair,EGYPTAIR,MSR,MS
493284,CS-LTD,Textron Aviation,Textron Aviation Citation Latitude,C68A,,,,
3991e7,F-HEPH,Airbus,A320 214SL,A320,,AIRFRANS,AFR,
7380c6,4X-EDH,,B787-9,B789,El Al Israel Airlines,ELAL,ELY,LY
400b82,G-DBCD,Airbus Sas,AIRBUS A319-131,A319,,SPEEDBIRD,BAW,
4ac9ee,SE-RON,Airbus Industries,A320-251N,A20N,Scandinavian Airlines,SCANDINAVIAN,SAS,SK
780201,B-KPA,Boeing,Boeing 777-367(ER),B77W,,CATHAY,CPA,
405636,G-EZDH,Airbus Sas,AIRBUS A319-111,A319,,EASY,EZY,
a884b6,N648UA,Boeing,767-322,B763,,UNITED,UAL,
4cad29,EI-HET,,,B38M,,,,
3c5ee6,D-AGWF,Airbus,A319 132,A319,,GERMAN WINGS,GWI,
4079f7,G-TTNN,Airbus,A320-251N,A20N,British Airways,SPEEDBIRD,BAW,BA
392ae8,F-GKXI,Airbus,A320 214,A320,,AIRFRANS,AFR,
44001c,OE-LBP,Airbus,A320 214,A320,,AUSTRIAN,AUA,
ac2cb2,N884AA,Boeing,787-8,B788,,,,
3c658e,D-AILN,Airbus,A319 114,A319,,LUFTHANSA,DLH,
06a0df,A7-BFF,Boeing,777 FDZ,B77L,Qatar Airways Cargo,QATARI,QTR,
4864eb,PH-NXN,,,E295,,,,
4d22c4,9H-IHH,,A320-232,A320,Lauda Air,LAUDA AIR,LDA,NG
a4c96c,N4073J,Airbus,A321-271NX,,Jetblue Airways,JETBLUE,JBU,B6
c051e2,C-GFAF,Airbus Industrie,A330-343 (Airbus),A333,Air Canada,AIR CANADA,ACA,AC
484132,PH-BXC,Boeing,737NG 8K2/W,B738,,KLM,KLM,
501db3,9A-DWA,Cessna,Citation CJ2+,C25A,Winair,WINAIR,WNA,
4baac7,TC-JVG,Boeing,737NG 8F2/W,B738,,TURKAIR,THY,
3c6426,D-AIAF,Airbus,A321 211SL,A321,,CONDOR,CFG,
4b18f4,HB-JLS,Airbus,A320-214,A320,Swiss International Air Lines,SWISS,SWR,LX
06a0e5,A7-AMF,,A350-900,A359,Qatar Airways,QATARI,QTR,QR
34520c,EC-MLP,Airbus,A330 202,A332,,IBERIA,IBE,
4b1803,HB-JCL,C Series Aircraft Limited Partnership,BD-500-1A11 (CS300),BCS3,Swiss International Air Lines,SWISS,SWR,LX
484cb4,PH-BCA,Boeing,737NG 8K2/W,B738,,KLM,KLM,
710130,HZ-ARH,Boeing,787 9,B789,,SAUDIA,SVA,
8940a2,A9C-NB,,,A21N,Gulf Air,GULF AIR,GFA,
4d0226,LX-MBE,Dassault,Dassault Falcon 2000,F2TH,,,,
4951cd,CS-TNM,Airbus,A320 214,A320,,AIR PORTUGAL,TAP,
345212,EC-MLM,Airbus,A321 231SL,A321,,VUELING,VLG,
48415e,PH-BXE,Boeing,737NG 8K2/W,B738,,KLM,KLM,
34604b,EC-MVZ,,,CRJX,,,,
48506d,PH-TFM,Boeing,787 8,B788,,ARKEFLY,TFL,
341119,EC-FTR,Boeing,757 256F,B752,Cygnus Air,CYGNUS AIR,RGN,
406f7c,G-ZBKP,Boeing Company,BOEING 787-9 Dreamliner,B789,,SPEEDBIRD,BAW,
ab5fc9,N832AA,Boeing,787-9,B789,,AMERICAN,AAL,
4d2168,9H-RSS,Bombardier,Bombardier Global 6000,GLEX,,,,
3c55c7,D-AENG,,,A20N,,,,
a2a3b6,N26967,Boeing,787-9,B789,United Airlines,UNITED,UAL,UA
344502,EC-LZX,Airbus,A330 302,A333,,IBERIA,IBE,
452134,LZ-FSA,Airbus Industrie,A320-232,A320,Fly2sky,VAW,,
461f57,OH-LWP,,A350-941,A359,Finnair,FINNAIR,FIN,AY
342581,EC-KCU,Airbus,A320 216,A320,,VUELING,VLG,
a9aebe,N723AN,Boeing,777-323ER,B77W,American Airlines,AMERICAN,AAL,AA
ab048d,N809NW,Airbus,A330-323,A333,,DELTA,DAL,
484c51,PH-EZM,Embraer,EMB-190 STD,E190,,CITY,KLC,
a0e956,N158QS,Bombardier Inc,BD-700-1A10,GLEX,,,,
48ada7,SP-LNH,Embraer,ERJ-195AR -&gt;195LR,E195,Lot - Polish Airlines - Poland,POLLOT,LOT,
484c54,PH-EZP,Embraer,EMB-190 STD,E190,,CITY,KLC,
347348,EC-NVZ,,,B788,,,,
440cff,OE-LVG,,,A319,,,,
896178,A6-EWF,Boeing,777 21HLR,B77L,,EMIRATES,UAE,
4d221d,9H-QBO,Boeing,Boeing 737-8AS (W),B738,Malta Air,,MMO,
4400eb,OE-IVT,,,A320,,,,
8963cf,A6-BLB,Boeing,787 9,B789,,ETIHAD,ETD,
a57ad0,N452PA,Boeing,747-46NF,B744,Polar Air Cargo,POLAR,PAC,PO
39c466,F-HRDG,,,E55P,,,,
a48850,N391UP,Boeing,767-304,B763,United Parcel Service Company (ups) - United States Of America,UPS,UPS,
3c66a2,D-AIUB,Airbus,A320 214SL,A320,,LUFTHANSA,DLH,
3c458e,D-AALN,Boeing,777-F,B77L,Aerologic,GERMAN CARGO,BOX,3S
4bb070,TC-LCP,,737-8 MAX,B38M,Turkish Airlines,TURKISH,THY,TK
49d0c6,OK-SLN,Embraer,Legacy 600,E35L,,,,
3007f1,I-JEND,,,E190,,,,
8963d5,A6-EPF,Boeing,777 31HER,B77W,,EMIRATES,UAE,
3c656c,D-AIKL,Airbus,A330 343E,A333,,LUFTHANSA,DLH,
48c2ae,SP-RZO,,,B38M,,,,
3949e5,F-GSPF,Boeing,777 228ER,B772,,AIRFRANS,AFR,
aa3417,N757AN,Boeing,777-223,B772,,AMERICAN,AAL,
a7e310,N607UP,Boeing,747-8F,B748,United Parcel Service,UPS,UPS,5X
516097,4O-AOB,Embraer,EMB-195 LR,E195,,MONTAIR,MGX,
400a7d,G-DBCB,Airbus Sas,AIRBUS A319-131,A319,,SPEEDBIRD,BAW,
400a26,G-EUUR,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
3c674a,D-AIZJ,Airbus,Airbus A320 214,A320,,LUFTHANSA,DLH,
40683e,G-VUFO,Airbus Sas,AIRBUS A330-343,A333,,VIRGIN,VIR,
3c6657,D-AIRW,Airbus,A321 131,A321,,LUFTHANSA,DLH,
abe5a2,N866FD,Boeing,777F,B77L,Federal Express Corporation D/b/a Fedex - United States Of America,FEDEX,FDX,FX
4bb1e7,TC-LOG,Airbus,A330 343E,A333,,TURKAIR,THY,
405bfc,G-YMMS,Boeing Company,BOEING 777-236,B772,,SPEEDBIRD,BAW,
40792e,G-TTNK,Airbus Sas,Airbus A320-251N,A20N,British Airways Shuttle Flights - United Kingdom,SPEEDBIRD,SHT,BA
71007f,HZ-ASE,Airbus,A320 214,A320,,SAUDIA,SVA,
4d2257,9H-QDA,Boeing,Boeing 737-8AS (W),B738,Malta Air,,MMO,
45ce57,OY-SRW,,,B763,Star Air,,,S6
406ec7,G-XLEL,Airbus Sas,AIRBUS A380-841,A388,,SPEEDBIRD,BAW,
3964f3,F-GZHT,Boeing,737NG 8K2/W,B738,,FRENCH SUN,TVF,
484560,PH-BVC,Boeing,777 306ER,B77W,,KLM,KLM,
392ae2,F-GKXC,Airbus,A320 214,A320,,AIRFRANS,AFR,
40731c,G-ZBJI,Boeing Company,BOEING 787-8 Dreamliner,B788,British Airways,SPEEDBIRD,BAW,BA
49514b,CS-TJK,Airbus,A321 251N,A21N,Tap Portugal,AIR PORTUGAL,TAP,TP
4078dd,G-XWBF,Airbus,Airbus 350-1041,A35K,British Airways,SPEEDBIRD,BAW,BA
345043,EC-MHS,Airbus,A321 231SL,A321,,VUELING,VLG,
47b121,LN-FND,,,B789,,,,
406542,G-EZUI,Airbus Sas,AIRBUS A320-214,A320,,EASY,EZY,
40097d,G-EUUB,Airbus Industrie,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
4b1815,HB-JDD,Airbus,A320-271N,A20N,Swiss International Air Lines,SWISS,SWR,LX
4d241a,9H-WAF,,,A21N,,,,
aafd1f,N807NW,Airbus,A330-323,A333,,DELTA,DAL,
44065c,OE-LBX,Airbus,Airbus A320 214,A320,,AUSTRIAN,AUA,
aa6ccb,N771AN,Boeing,777-223,B772,,AMERICAN,AAL,
c0583a,C-GHKR,Airbus Industrie,A330-343 (Airbus),A333,,AIR CANADA,ACA,
78076c,B-2086,Boeing,777 39L(ER),B77W,,AIR CHINA,CCA,
440484,OE-LKC,,,A319,,,,
040197,ET-AYB,,A350-941,A359,Ethiopian Airlines,ETHIOPIAN,ETH,ET
3451cd,EC-MNK,Airbus,A330 202,A332,,IBERIA,IBE,
4d02b7,LX-FLK,,,PC12,,,,
407464,G-TTNA,,,A20N,,,,
485e30,PH-BKK,,B787-10,B78X,Klm,KLM,KLM,KL
484966,PH-BGG,Boeing,737NG 7K2/W,B737,,KLM,KLM,
4401da,OE-LVK,Fokker,Fokker F100,F100,,AUSTRIAN,AUA,
398569,F-HBLJ,Embraer,EMB-190 STD,E190,Hop!,AIR HOP,HOP,A5
4787a0,LN-NIB,Boeing,737NG 86J/W,B738,,NOR SHUTTLE,NAX,
4074e3,G-ZBJK,Boeing,Boeing 787-8,B788,British Airways,SPEEDBIRD,BAW,BA
39cf00,F-HTYA,,Airbus A350-941,A359,Air France,AIRFRANS,AFR,AF
aa6914,N770AN,Boeing,777-223,B772,,AMERICAN,AAL,
406948,G-STBH,Boeing Company,BOEING 777-336ER,B77W,,SPEEDBIRD,BAW,
495306,CS-TXF,,A321-251NX(LR),A21N,Tap Portugal,AIR PORTUGAL,TAP,TP
3c6565,D-AIKE,Airbus,A330 343X,A333,,LUFTHANSA,DLH,
4cad3c,EI-HMT,,,B38M,,,,
3a2e24,F-OLRE,Boeing,777 300ER,B77W,,REUNION,REU,
4b1a01,HB-JWB,Bombardier Inc.,CL-600-2B16 (604 Variant),CL60,Schweizerische Luft-ambulanz Ag,,,
4d207a,9H-SVA,,,F900,,,,
440c38,OE-LSJ,,,A20N,,,,
44d071,OO-TCQ,Airbus,A320 214,A320,Brussels Airlines,BEE-LINE,BEL,SN
48ad82,SP-LMC,,,E190,,,,
a6d5b1,N54BE,Bell,206B Jet Ranger III,B06,,,,
77058f,4R-ALO,Airbus,A330 343E,A333,,SRILANKAN,ALK,
440732,OE-LQE,Airbus Industie,Airbus A319-111,A319,Easyjet,ALPINE,EJU,U2
34608f,EC-NAZ,,,A20N,,,,
4b1916,HB-JNA,Boeing,777-3DEER,B77W,Swiss International Air Lines,SWISS,SWR,LX
a8c121,N663UA,Boeing,767-322,B763,,UNITED,UAL,
4075b3,G-VLUX,Airbus Industrie,A350-1041,A35K,Virgin Atlantic Airways,VIRGIN,VIR,VS
344416,EC-LUS,Airbus,A320 216SL,A320,,,IBS,
345614,EC-MUM,Airbus,A320-214,A320,Vueling Airlines,VUELING,VLG,VY
40615b,G-EUYF,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
8960d9,A6-EBR,Boeing,777 31HER,B77W,,EMIRATES,UAE,
34134e,EC-HUI,Airbus,A321 212,A321,,IBERIA,IBE,
3ce18f,D-CMSL,,,PC24,,,,
ab4489,N825MH,Boeing,767-432ER,B764,,DELTA,DAL,
4ba919,TC-JHY,Boeing,737NG 8F2/W,B738,,TURKAIR,THY,
4cc53a,TF-ICL,,,B38M,,,,
4bb1c5,TC-LNE,Airbus,A330 303,A333,,TURKAIR,THY,
4ba9ef,TC-JOO,Airbus Industrie,A330-223F,A332,Turkish Cargo,TURKISH,THY,TK
34644e,EC-NJI,Airbus,A321-251NX,A21N,Iberia Express,IBEREXPRESS,IBS,I2
3949f4,F-GSPU,Boeing,777 228ER,B772,,AIRFRANS,AFR,
aa7439,N773AN,Boeing,777-223,B772,,AMERICAN,AAL,
4ac9e4,SE-ROD,Airbus,Airbus A320 251NSL,A20N,,SCANDINAVIAN,SAS,
3451d9,EC-MJP,Bombardier,CRJ 1000 NG,CRJX,,AIR NOSTRUM,ANE,
